Reaction,Flux
NNDPR,0.04096558605763331
NO2t2r,0.0
NO2t3,0.0
NO3t2,0.0
NTD1,0.0
NTD10,0.1626366763886615
NTD2,0.0
NTD3,0.0
NTD4,0.0
NTD5,0.0
NTD6,0.0
NTD7,0.0
NTD8,0.0
NTD9,0.0
NTR3B,0.0
NTRIR2x,0.0
OCBT_1,1.381857465931554
OIVD1r,0.20819512563663584
OIVD2,0.046265583474807956
OIVD3,0.39325745953586766
OMPDC,5.174383843020109e-17
ORNTA_1,0.0
ORNTAC_1,0.0
ORNt2,0.0
ORPT,6.036092943934793e-17
OXADC,0.6169396006549541
P5CD,0.0
P5CR,0.0649746283530579
PANTS,0.0
PAPPT3,0.36482519459839846
PAPSR,0.0
PC,0.0
PDH,0.0
PFK,0.0
PFK_2,0.0
PGAMT,-1.1715956390250815
PGCD,2.836486501650929
GND,-54.44171320679692
BGLA1,0.0
PGI,-54.902815937080604
PGK,-28.75150217214973
PGLYCP,0.0
PGM,25.9150156704988
PGMT,-0.9015733260543528
PGMT_B,0.0
PHCYT_BS,0.27518562661595813
PHETA1,0.13433670423152796
PIabc,0.0
PIt2r,0.0
PIt7,0.0
PMANM,0.0
PMPK,0.0
PNTEH,0.0
PNTK,0.018282346938229582
PPA,0.0
PPAKr,0.0
PPBNGS,0.0
PPCDC,0.018282346938229586
PPCOAC,0.0
PPM,2.3716750731740386
PPM2,-0.12969015845492216
PPNCL,0.0
PPND,0.0
PPNDH,0.5161264197891141
PPPGO,0.0
PPS,0.0
PRAGSr,1.4016354684081463e-17
PRAIi,0.0
PRAIS_1,1.4016354684081463e-17
PRAMPC_1,0.0
PRATPP,0.0
URATEt_1,0.0
PRMICI,0.0
PRO1x,0.0
PROLBabc,0.0
PRPPS,-0.8040082182431535
PSDC_BS,0.2006561860741361
PSERT,-2.836486501650929
APNPT,0.0
PTPATi,0.018282346938229586
PUNP1,0.10843650611843036
PUNP2,0.0
PUNP3,0.0
PUNP4,0.04485107206706603
PUNP5,-0.3186619718309859
PUNP6,0.0
PUNP7,-1.319913671693826
PUNP8,0.0
PURabc1,0.0
PYK,18.256268164361366
PYNP1,0.0
PYNP2r,-0.29460093896713613
PYRIS,0.0
QULNS,0.04096558605763331
RBFK,0.0
RBFSa,0.0
RBFSb,0.0
RBK_Dr,0.0
RBK,0.0
RBK_L1,0.0
RBP4E,0.0
RIBabc,0.0
RIBabc1,0.0
PNP,0.0
RMI,0.0
RMK,0.0
RNDR1,0.0
RNDR2,0.0
RNDR3,0.05108037939604393
RNDR4,0.0
RPE,-35.32056924240207
RPI,19.121143964394832
S6PG,0.0
SADT,0.0
SBTt2,0.0
SERAT,0.0
SERD_L,0.0
SHK3Dr,0.0
SHKK,0.0
SHSL1,0.37030516431924876
SHSL2,0.029949694365728474
SHSL3,0.0
SHSL4r,0.0
SLCYSS,0.0
SPODM,0.0
SPMDAT1,0.0
SPMDAT3,0.0
SPMDt3i,0.0
SPMS,0.0
SPRMS,0.0
SSALy,0.36635657671323385
SUCBZL,0.0009531168838521463
SUCD1,4.090028733188055
SUCD5_BS,0.0
SUCR,0.755281690140845
SUCOAS,16.236311374010832
SULR_1,0.0
TAGURr,0.0
TALA,17.553477109463945
TARTDC,0.0
TARTRDH,0.0
TARTRDH2,0.0
TECA4S_BS,0.011150750911834135
THMDt2,0.0
THRD,0.0
THRD_L,0.18324360733868936
THRS,0.0
TKT1,-17.553477109463948
TKT2,-17.553477109463948
TMDK1,0.0
TMDPP,0.043040850722250286
TMDS,0.0
TMN,0.0
TMPPP,0.0
TPI,24.11343668147537
TRDR,0.355528673658135
TRE6PH,0.8345070422535213
TRPAS1,0.0
TRPS1,0.0
TYRTA,0.4199502419489852
UAAGDS,0.36482519459839846
UAG2E,0.027912708741384292
UAG2EMA,0.0
UAG4E,0.334522527355024
UAGCVT,0.3648251945983984
UAGDP,-1.1715956390250817
UAGPT3,0.3648251945983985
UAMAGS,0.36482519459839835
UAMAS,0.3648251945983984
UAPGR,0.3648251945983984
UDCPDP,0.3648251945983985
UDPG4E,0.0
UDPGD,0.0
UGMDDS,0.3648251945983984
UGT1_BS,0.03081505714709948
UGT2_BS,0.0236487647873089
UGT_BS,0.055897080406366484
UNK5,0.0
UPP3MT_2,0.0
