Reaction,Flux
NDPK2,-3.6841868150344395
NDPK3,0.0
NDPK4,0.0
NDPK5,-0.04473136639816559
NDPK6,0.0
NDPK7,-0.05094404796177749
NDPK8,-0.2952033990960137
NDPK9,0.0
NH4t,0.0
NMNAT,-4.733369021635317
NNATr,0.031741220991859456
NNDPR,0.03174122099185946
NTR3B,0.0
OCBT_1,5.786229036543337
OCOAT1,0.47355553344070345
OIVD1r,0.16776770097425828
OIVD2,0.03728171132761294
OIVD3,0.38609090127647605
ORNTA_1,2.4261793952143056
ORNTAC_1,0.0
OXGDC,0.0
P5CD,2.498261158600571
P5CR,0.0
PANTS,0.0
PAPPT3,0.293983271549223
PAPSR,0.0
PC,0.0
PDH,0.0
PFK,0.0
PFK_2,0.0
PGAMT,-0.944094662301341
PGCD,3.758556113898814
GND,-5.009522588703482
BGLA1,0.0
PGK,-0.8483981224748994
PGMT,-0.7265054054908092
PGMT_B,0.0
PHCYT_BS,0.22174995585197285
PHETA1,0.0
PIt2r,-3.014147842331372
PMANM,0.0
PMPK,0.0
PNTK,0.014165646589307171
PNTOt2,-0.01416564658930717
PPAKr,0.0
PPBNGS,0.0
PPCDC,0.014165646589307168
PPCOAC,0.0
PPNCL,0.014165646589307168
PPNDH,0.0
PPS,4.779979770993187
PRAGSr,0.0
PRAIS_1,0.0
URATEt_1,0.0
PRMICI,0.0
PROLBabc,0.0
PRPPS,-0.3037448179094613
PTA2,0.0
PTAr,0.0
APNPT,0.0
PTPATi,0.014165646589307168
PUNP1,0.17638781185769814
PUNP3,-0.4812206572769953
PUNP5,-0.34950165793534566
PUNP7,-1.1572769953051643
PUNP8,0.0
PURabc1,0.0
PYK,0.0
PYNP1,0.0
PYNP2r,0.0
PYRIS,0.0
QULNS,0.03174122099185946
RBFSa,0.0
RBFSb,0.0
RBK_Dr,0.0
RBK_L1,0.0
RBP4E,0.0
PNP,0.0
RNDR1,0.02465214889447364
RNDR2,0.04473136639816559
RNDR3,0.05094404796177748
RNDR4,0.0
RPE,-2.251981707563692
RPI,2.757540881139791
S6PG,0.0
SDPDS,0.29398327154922316
SERAT,0.0
SERD_L,2.589976896538186
SHK3Dr,0.0018277047142497946
SHKK,0.0018277047142497944
SHSL1,0.2694644343423254
SHSL2,0.0
SHSL3,0.0
SHSL4r,0.0
SLCYSS,0.0
SPODM,0.0
SPMDt3i,0.0
SSALy,0.0
SUCBZL,0.000768040211674802
SUCBZS,0.000768040211674802
SUCR,0.0
SUCOAS,-0.8264199084868505
TARTDC,0.0
TARTRDH,0.0
TARTRDH2,0.0
THRD,4.714995661825708
THRD_L,0.0
THRS,4.691958654498778
TMDPP,0.025385029861985767
TMDS,0.0
TMN,0.0
TPI,-3.5556419316060244
TRE6PH,0.0
TRPAS1,0.0
TRPS1,0.0
TYRTA,0.4735555334407033
UAAGDS,0.29398327154922305
UAGCVT,0.0
UAGDP,0.0
UAMAGS,0.2939832715492231
UAMAS,0.29398327154922305
UDCPDP,0.293983271549223
UDPG4E,8.183617222791148e-17
UDPGD,0.0
UGMDDS,0.29398327154922305
UNK5,0.0
UPP3MT_2,0.0
UPPDC1,0.0
UPPRT,0.0
URAt2,-0.08157276995305125
URIDK2r_copy2,0.0
VALTA,4.752316046833857
XAND,2.4260896103135177
